,sentence,entity,score
10,1月31日，汇金股份公告称，预计公司2017年亏损约1.61亿-1.66亿元，相较于上年同期盈利4573.67万元，汇金股份预计2017年大幅亏损,['汇金股份'],[-1.0]
5,　　那么，乐普医疗的PE（TTM）又经历了怎样的演化,['乐普医疗'],[0.0]
17,　　2016年1月14日，创维数字再次发布公告称，将以8.99亿元收购公司关联方液晶科技所持有的创维液晶器件（深圳）有限公司的100%股权，开始进军液晶模组，以拓展和优化了业务及产品结构，抵御上市公司的单一数字机顶盒业务经营风险,['创维数字'],[0.0]
7,1月17日，宋城演艺发布公告称，公司及宋城集团与嘉善县人民政府及嘉善县西塘镇人民政府签订了《西塘·中国演艺小镇项目战略协议书》，项目拟投资额达到200亿元，其中，核心景区西塘千古情景区和大型歌舞《西塘千古情》是项目灵魂,['宋城演艺'],[1.0]
5,　　尽管对长城汽车而言，哈弗H4肩负提升销量、扩大市场份额的重任，但哈弗品牌与WEY品牌之间的内耗，同样是长城汽车不得不面对的问题，这直接关系到长城汽车整体利润的升降,['长城汽车'],[-1.0]
9,乐视网披露的融资落地进展，与孙宏斌3月28日在融创中国业绩发布会上透露的投资进展基本一致,['乐视网'],[0.0]
16,2016年，顺丰控股职工薪酬降为94.43亿元，占营业成本比重为20.44%,['顺丰控股'],[0.0]
5,　　从酒鬼酒的股价走势来看，尽管在今年第三季度股价有所调整，但三季度至今依然上涨了15.21%，尤其是从9月下旬开始重回升势，迄今已上涨超过了两成，而同期上证指数只上涨了5%左右,['酒鬼酒'],[1.0]
0,　　银行股全线飘绿，工商银行跌6%，、、、均跌逾4%,['工商银行'],[-1.0]
1,我们认为一方面可能源于公司信托收入的确认节奏的影响，另一方面受公司对信托业务规模控制影响，安信信托17年管理信托资产规模2325亿，与年初相比基本持平(2349.5亿),['安信信托'],[0.0]
0,　　高送转板块快速拉升，中坚科技涨停、涨8.23%、涨6.14%、涨5.23%、涨4.62%、涨4.08%、涨3.70%、涨2.92%、涨2.87%、涨2.87%、涨2.72%、涨2.69%、涨2.59%,['中坚科技'],[1.0]
2,　　但是，这起乌龙指事件的影响，就不仅仅是局限于光大证券了,['光大证券'],[0.0]
12,　　对于孙宏斌选择辞职的具体、详细原因，乐视网相关负责人表示“没有超出公告的内容”,['乐视网'],[-1.0]
15,　　业内人士在接受中国证券报记者采访时表示，乐视网资金问题爆发之后，公司的股权仍能质押成功，相关机构很可能是基于对融创还款能力的判断，但是融创这比质押的折扣很大概率是在5折以下了,['乐视网'],[-1.0]
4,　　2015年前三季度，一汽夏利亏损8.54亿元，但全年最终实现盈利1805万元，扣非后净利润为-11.8亿元,['一汽夏利'],[1.0]
2,华东重机这边对定增方案进行修订，最终去掉了泽熙增煦来,['华东重机'],[0.0]
0,'　　龙泉股份（002671.SZ）是一家钢筒混凝土管（PCCP）供应商，公司资金链状况并不好，账面现金连短期有息负债都无法覆盖，但公司却仍然豪掷重金建设豪华办公楼，存在不务正业、浪费资金之嫌,['龙泉股份'],[-1.0]
0,　　建筑工程板块表现较好，、天健集团、等3只个股封涨停，、、、、等5只个股涨幅均超5%，、、、、、、、、、、、威海股份等12只个股涨幅均在3%以上；宁波海顺认为，5日开幕的APEC(亚太经济合作组织)会议将“加强全方位基础设施与互联互通建设”作为三大重点议题之一，APEC经济体与一带一路范围高度重合，随着一带一路规划的即将出台，我国建筑工程行业有望迎来新的良机,['天健集团'],[1.0]
1,　　会后，迎驾贡酒董事长倪永培在接受《每日经济新闻》记者专访时表示，迎驾贡酒2017年全年业绩实现增长，其中大部分业绩由中高端产品贡献,['迎驾贡酒'],[1.0]
16,”　　在秦玉峰看来，涨价并不见得就是坏事，从某种程度上考量，这将有助于东阿阿胶进一步开拓高端市场，与“价值回归”战略呼应,['东阿阿胶'],[1.0]
6,　　“如果华润持股属实的话，对山西汾酒的发展是利好的，利用华润的全国性渠道优势，有利于山西汾酒全国化战略的推进,['山西汾酒'],[1.0]
5,光大证券要做一家值得被真正尊重的有良心的投资银行,['光大证券'],[1.0]
0,　　电力板块走势强劲，、、、、、、、、、、等11只个股封涨停；、、、、等8只个股涨幅均超7%；15日，国务院总理李克强考察了中国核电工程有限公司，听取了中国自主三代核电技术“华龙一号”的进度汇报，李克强表示，未来我国要大规模发展核电，将与法国要共同开发第三方市场；宁波海顺认为，政府对核电的重视或将加速核电业发展，加快核电“走出去”，行业未来前景向好；沪指午后上演惊天大逆转，接连收复4800、4900点关口，盘面上板块全线飘红，逾150家个股封涨停，市场氛围有所回暖；两市量能合计约1.53万亿元，较前一交易日有所缩量,['中国核电'],[1.0]
6,　　为了被幸福蓝海高溢价收购——除了业绩承诺，傅晓阳和笛女传媒还放弃了在新三板的挂牌：此前2016年底，笛女传媒已经拿到了新三板（全国中小企业股份转让系统）的挂牌许可，连新三板的代码（871293）都已经产生,['幸福蓝海'],[1.0]
3,　　截至2018年2月底，中国移动的用户总数8.95亿户，其中2.33亿非4G用户；中国电信的移动用户总数2.59亿户，其中非4G用户6300万户；中国联通移动用户总数2.90亿户，其中非4G用户1.03亿户,['中国联通'],[0.0]
0,　　东北证券表示，关于市场走势，我们认为，证金公司声明，有利于市场进入更加健康的发展轨道，也有利于反弹延续的更为持久，而上证综指昨日有效突破均线，交易量温和释放，市场短期看好,['东北证券'],[0.0]
0,除了董事长杨君敏，双塔食品总经理、副总经理以及几位监事均计划增持上市公司股份，增持资金来源为自筹,['双塔食品'],[0]
9,二是2014年初，在经济利润奖金制度的基础上，万科建立了事业合伙人制度，包括通过资管计划共同持有万科的股票,['万科'],[0.0]
4,　　不过，21世纪经济报道记者发现，*ST嘉陵的扭亏为盈是建立在2017年频繁卖出资产的基础上,['ST嘉陵'],[-1.0]
6,　　黄正华表示，对于销量的下滑，海马汽车并没有焦虑,['海马汽车'],[-1.0]
0,'　　[打开跌停板、在二级市场上流动性恢复正常、投资者可以自由买卖之后，对乐视网的定价将按照当前的市价进行重新调整，而市价高出3.9元约30%,['乐视网'],[1.0]
0,但更令人欣慰的是，如万科、等新生力量正以超乎寻常的增速成长，枝干丰茂,['万科'],[1.0]
7,　　市场有人将海通证券国际部和海通国际混淆，以为是海通国际上周大买蓝筹股，而后者是QFII机构，于是从中判断QFII抄底,['海通证券'],[-1.0]
1,梳理全国各省中标情况，此前信立泰的75mg泰嘉未在上海、北京、湖北、陕西、山西、福建、海南等地区中标，此次通过各地对一致性评价品种的采购支持政策，有望挂网采购进入上述空白市场，为公司贡献显著业绩增量,['信立泰'],[1.0]
10,　　唐德影视相关负责人对记者称，公司为了该节目做了很多准备工作，包括找到了好的制作团队、接触了播出平台和优秀的导师、储备了一些优秀学员、与广告商达成合作意向、进行了必要的互联网平台开发等,['唐德影视'],[1.0]
0,　　午后开盘，钨业股出现大幅拉升态势，其中章源钨业直线拉升涨超9%，涨超4%，涨超6%,['章源钨业'],[1.0]
10,荣盛发展资产合计1758.17亿元，负债率为85.09%,['荣盛发展'],[0.0]
46,　　在2010年12月，即世龙实业递交IPO材料前夕，该公司直接控股股东大龙实业和间接控股股东将持有的合计800万股份转让予三天前成立的乐平新世佳，后者由此获得世龙实业8.89%的股权,['世龙实业'],[1.0]
5,深投控将深投环保等标的资产注入高能环境，重组完成后深投控成为高能环境的控股股东,['高能环境'],[1.0]
0,　　投资收益之所以能达到129亿元，源于前海人寿以“对被投资单位能够施加重大影响”为由，将投资万科的股票浮盈入账,['万科'],[1.0]
9,　　另据银江股份1月4日披露，公司董事、总经理章建强，董事、副总经理、财务总监钱小鸿，董事柳展计划于2018年1月4日起十五个交易日后的6个月内，以集中竞价方式合计减持股份累计不超过135万股,['银江股份'],[-1.0]
20,此前，朱共山接替协鑫集成董事长一职时曾表示，协鑫集成在上届董事会的带领下用两年的时间完成同行10年的长期布局，在系统集成、高效组件、国内外市场开拓上已有成绩，未来将继续坚持科技引领驱动发展，调整双主业经营,['协鑫集成'],[1.0]
0,　　今日早盘，钢铁板块快速拉升，截至发稿，八一钢铁涨4.12%，，，，，，等股涨超2%,['八一钢铁'],[1.0]
5,对此，步森股份在公告中做了详细说明,['步森股份'],[1.0]
0,新一届董事会成员就此诞生：中国集团董事长卢志强先生将出任IDG董事长，中国泛海控股集团董事、副总裁刘冰当选IDG新任总裁、董事兼执委会主席，IDG原董事长Walter Boyd获选新任董事，IDG资本全球董事长熊晓鸽当选IDG新任董事,['泛海控股'],[0.0]
9,　　目前，在山东省德州市、禹城市政府的积极协调下，龙力生物与大同证券已经进行了调解，龙力生物承诺将分期偿还全部借款本息；具体还款情况以产品公告为准,['龙力生物'],[1.0]
0,2015年底是测试的交易结束日，当时出售华夏银行的交易还没有完成，欧洲央行还是网开一面，只是在脚注中加以说明,['华夏银行'],[-1.0]
0,'　　新浪财经讯 11月12日消息，从（300005）获悉，今年“双11”当日，探路者品牌、Discovery Expedition及探路者童装品牌实现1.35亿的销售额，再创佳绩,['探路者'],[1.0]
3,　　汉鼎宇佑在智慧医疗领域的拳头项目是好医友平台,['汉鼎宇佑'],[1.0]
2,　　51%控股选团队扩张　　吉艾科技2017年业绩快报显示，业绩增长主要得益于公司AMC板块业务发展迅速，资管团队及业务范围快速扩大，子孙公司遍布上海、北京、浙江、江苏、陕西、四川、重庆、广东、新疆、山东、福建、广西等地，共计14家,['吉艾科技'],[1.0]
0,　　发债计划获批　　3月5日，证监会第十七届发审委2018年第39次会议审核结果出炉，吴江银行可转债发行申请获得无询问通过,['吴江银行'],[1.0]
7,2014年10月，獐子岛声称虾夷扇贝存货异常，原因是冷水团异动导致自然灾害，扇贝几乎绝收，公司当年净利润亏损11.89亿元,['獐子岛'],[-1.0]
6,　　根据年报信息，顺丰控股2017年营业收入710.94亿元，其中时效和经济板块的传统业务仍是主要来源，收入615亿元，占比高达86.51%，但与去年的占比90.09%有所下降，而新业务比重随之在逐渐提升,['顺丰控股'],[1.0]
13,华谊兄弟CEO王中磊曾在接受媒体采访时表示，2017年华谊兄弟将加速影院布局，计划在五年之内跻身院线行业前列,['华谊兄弟'],[0.0]
22,今年，比亚迪在产业链条上的运营思路开始调整，比如此前只供应比亚迪内部的动力电池，开始对外销售；与佛吉亚合资生产座椅等零部件；其他零部件板块也可能独立运营,['比亚迪'],[1.0]
11,就以上问题北京商报记者向海澜之家发去邮件，但截至发稿时未能收到回复,['海澜之家'],[-1.0]
0,'　　格隆汇19日讯，在高管会议上，王传福释放了三个重要信息：第一，将打造成为一个百年老店；第二，在2025年左右，比亚迪要整体实现万亿元营收的规模；第三，发布全新品牌使命——“用技术创新，满足人们对美好生活的向往”,['比亚迪'],[1.0]
1,此外，亿阳集团用旗下上市公司ST信通的股权做了抵押，且亿阳集团将其持有的ST信通股份几乎全部质押，目前早已跌破质押平仓线,['ST信通'],[-1.0]
0,　　工商银行行长谷澍对此表示，去年工商银行不良贷款下降的原因主要有两个：一是宏观经济形势向好；二是在过去几年间，工行在信贷体制方面做出了很多努力和改革,['工商银行'],[-1.0]
5,　　“去年中信银行的主动缩表是在三个背景下实施的：其一，市场走高，利差被压缩，需要压降同业资产业务；其二，配合监管新规迭出，银行对业务重检；其三，中信银行长期快速发展过程当中，不少低效益资产甚至是零效益资产需要压缩，而这种压缩需要借助总体缩表来实现”，中信银行副行长方合英表示，“不过，今年的情况跟去年相比有很大不同，因此今年的资产规模预计会有8-10%的增长，主要还是投向一般贷款以及增加一些债券投资,['中信银行'],[1.0]
0,　　受“中船重工明确表示发展核动力航母”等影响，海工装备板块强势崛起，中船科技、、、、等多股均有所拉升,['中船科技'],[1.0]
1,　　近期， 二三四五发布2017年度业绩快报，在这份报告中，2017年未经审计的净利润为9.32亿元,['二三四五'],[-1.0]
0,1月18日，对于这一说法，格力电器相关负责人表示：“太夸张,['格力电器'],[0]
4,　　　　《每日经济新闻》记者了解到，国旅联合原主营业务是以温泉主题公园为单一业务主线，着重发展以温泉为核心资源的休闲度假开发建设与经营管理,['国旅联合'],[1.0]
21,虽然大智慧和立信表达了同意调解的意向，但最终还要看大智慧方面出具具体的调解方案,['大智慧'],[0.0]
7,此外，经证监会调查，金亚科技2014年年报虚增银行存款约2.18亿元、2014年年报虚列预付宏山公司3.1亿元工程款等违法情况,['金亚科技'],[-1.0]
6,当时，新日恒力方面回复称，经核查，重组完成后，新日恒力根据重组时的相关协议及实际需求对收购后的置入资产完成了必要的整合，新日恒力通过股东会、董事会及修改后的博雅干细胞公司章程对博雅干细胞实现了控制，博雅干细胞未受许晓椿控制,['新日恒力'],[1.0]
7,整体来看，华仁药业全天成交金额共3.11亿元，换手率为3.99%,['华仁药业'],[0.0]
0,　　针对龙文教育经营状况未达预期的原因、上市公司后续双主业如何布局等问题，《中国经营报》记者近日致函勤上股份董事长兼代董秘陈永洪，但截至发稿未获回复,['勤上股份'],[-1.0]
0,3月9日晚间，欧浦智网公告显示，吕小奇表示不再推进部分要约收购欧浦智网的交易,['欧浦智网'],[1.0]
3,　　“西藏深万投”模拟合并财务报表中的每年净利润表现都要远远好于大湖股份，这似乎向投资者表明卖安全套是要比卖水产品更易赚钱的，也或许是这模拟出来的持续业绩增长亮点吸引了大湖股份的眼光，让其决定在卖水产品的同时，再卖点安全套，以保证自己经营业绩实现跨越式增长——以“西藏深万投”业绩承诺的2018年1.8亿元净利润测算，51%股权部分归属于大湖股份的净利润将有0.918亿元，即大湖股份净利润会从原来的几百万元大幅增加到亿元左右,['大湖股份'],[0.0]
14,截至今日收盘，中国恒大总市值为3028亿元，比万科A总市值少1337亿元,['万科'],[0.0]
7,天海投资董事长童甫在接受记者专访时透露，天海投资已初步完成转型的资产重组工作，明确了业务模式,['天海投资'],[1.0]
3,　　一家基金公司监察稽核部门的负责人表示，光大证券乌龙事件发生后，一些公募基金的量化投资模型在短时间内系统自动买入相关权重股，客观上产生了助涨助跌的负面影响,['光大证券'],[-1.0]
1,　　蓝晓科技2009年就开始进行盐湖卤水提锂技术工艺、材料的研发，在盐湖卤水资源分离、综合开发利用方面已形成自有的吸附分离核心技术及材料，并先后取得关于盐湖卤水提锂、除杂相关的吸附材料、工艺和装置等多项发明专利，拥有系列的盐湖卤水提锂吸附技术工艺和自主知识产权,['蓝晓科技'],[1.0]
4,罪魁祸首或许就是一直令TCL集团董事长头疼的通讯业务,['TCL集团'],[0.0]
18,　　此外，据步森股份三季报显示，知名私募重庆信三威投资还持有步森股份1138万股；上银瑞金资产-慧富9号资管计划持有296.26万股；华融·盛世景新策略1号证券信托持有240.49万股,['步森股份'],[1.0]
6,兖州煤业方面表示，此次交易有利于增加公司盈利能力，提高公司投资收益,['兖州煤业'],[1.0]
1,　　4200亿再融资在路上　　事实上，除了农业银行外，今年以来已有多家上市商业银行开启“花样”补血模式,['农业银行'],[0.0]
2,　　自2014年开始，随着外部市场的变化，中国一重开始显得“不适应”，企业连续24个月亏损,['中国一重'],[-1.0]
14,而受到单晶硅片在第四季度需求增速不及第三季度的预期影响，隆基股份主动下调硅片价格以维持单晶硅片的市占率，这在一定程度上则会牺牲隆基股份第四季度硅片业务端的毛利率,['隆基股份'],[1.0]
7,　　所以，凤形股份真要在这条路上走到底，风云君估计若没有财技来支援，那离带帽也不远了,['凤形股份'],[-1.0]
0,截至发稿，西藏城投强势涨停，、大涨6%，、、等个股亦有不错表现,['西藏城投'],[1.0]
0,据了解，早在2016年1月和7月，网酒网先后增资2亿元、8900万元；9月30日，李锐做担保，约定向中国光大银行大连金州支行借款4000万元用于补充流动资金；10月28日，网酒网发布股票发行认购报告书，募资1359.6万元；11月9日，网酒网再次以补充公司流动资金为由，向北京分行申请1000万元贷款,['光大银行'],[0]
0,'　　　　海航系旗下的天海投资（sh600751）披露重组进展，公司首度披露标的资产为北京当当科文电子商务有限公司及北京当当网信息技术有限公司相关股权,['天海投资'],[0]
2,扬州曙光和埃斯顿在运动控制交流伺服系统具有较强协同优势和技术积累,['埃斯顿'],[1.0]
19,　　对于如何提振公司未来股价，上述厚普股份证券部工作人员向《每日经济新闻》记者表示，2017年公司业绩不是很好，下滑比较厉害，2018年，公司一方面要做好自己的主营业务，另一方面希望能在其他的板块取得一定的突破,['厚普股份'],[-1.0]
3,昨晚媒体报道称，恒大向深圳市政府书面表态不再增持万科，且愿将所持股份悉数转予深圳地铁,['万科'],[0.0]
3,”一建材业证券分析师对《证券日报》基金周刊记者表示，“在水泥价格稳步上涨之后，水泥业被机构一路唱多，天山股份这种脱离板块性上涨独自破位下跌的走势，意味着机构主力利用概念性利好加大出货力度,['天山股份'],[0.0]
1,”万华化学之所以能够坚持长期分红，在其董事长廖增太看来，企业有创新能力，有可持续发展能力，能赚钱，所以有钱可以分,['万华化学'],[1.0]
3,在保险领域，中天金融在保险领域拟收购华夏人寿21%~25%的股权，去年12月28日，中天金融发布公告称就收购事项签订《框架协议的补充协议》，将定金金额由10亿元人民币增加至70亿元人民币,['中天金融'],[1.0]
0,　　2017年伊始，航美就已经与中国联通成立了合资公司-联通航美网络科技有限公司，此次联手，将充分发挥中国联通在通信领域的领先优势，以及联通航美在航空领域深耕多年的丰富经验和独特资源优势,['中国联通'],[1.0]
10,除了绿色公司债券之外，蒙草生态分别于9月20日和10月18日发行了2017年度第一期和第二期超短期融资券，发行总额分别是5亿元和3亿元,['蒙草生态'],[0.0]
1,　　此前，在A股最为恐慌的7月6日、7月7日，个股是无量跌停，中信证券望京路、金融大街、呼家楼以及北京营业总部便出过手护盘，在跌停板上狂扫个股,['中信证券'],[-1.0]
3,国旅联合方面2018年1月16日向《每日经济新闻》记者表示，国旅联合的体育全产业布局雏形已渐渐形成，下一阶段，将体育赛事、体育服务等环节进行有机整合，并与旅游、健康等周边产业形成积极融合，将是公司的阶段性目标,['国旅联合'],[1.0]
9,　　刘淑青在今年4月份按照融创中国对乐视网的投资协议进驻公司董事会,['乐视网'],[0.0]
5,　　就相关问题，《每日经济新闻》记者致电风神股份董秘办，相关工作人员并未告知，仅表示一切以公司公告为准,['风神股份'],[-1.0]
0,'　　　昨日，宏辉果蔬走势强劲，早盘伊始股价便直线拉升封上涨停,['宏辉果蔬'],[1.0]
14,2017年12月，贝因美发布公告称，出售北上广等地22套房产，评估总价合计为1.04亿元，预计产生收益约3560万元；2017年9月，贝因美称向控股股东贝因美集团等关联方出售贝因美（安达）奶业有限公司100%股权，评估值为1.8亿元,['贝因美'],[1.0]
6,对此，《每日经济新闻》记者11月27日下午致电厦华电子，但公司接电话人士称证券部人士不在,['厦华电子'],[0.0]
6,　　此次上海银行解禁涉及的股东数量很多，达34649名,['上海银行'],[0.0]
0,地产股有深中华A、、、、、涨停,['深中华'],[1.0]
8,　　青青稞酒董秘赵洁在去年10月接受中国网财经记者采访时表示，中酒时代业务将划分为三大板块：B2C酒类电商业务——中酒网将适度收缩，以减少亏损；通过区域合伙人模式、开展中酒连锁门店招商加盟，开展中酒连锁业务；中酒云图与中酒云码为传统酒企提供全产业链“+互联网”服务，目前已在青海、甘肃、山东、四川、安徽等区域的销售终端投入使用,['青青稞酒'],[1.0]
6,赔付比例像金亚科技这么低的案子只出现在贤成矿业身上过，但贤成矿业属于破产重整，而且该案对于索赔额度在5000元以内的中小投资者进行了全额赔付,['金亚科技'],[-1.0]
0,　　7日早盘，东方金钰股价由红翻绿，截至发稿，该股跌近1%，报11.70元,['东方金钰'],[-1.0]
1,此前有媒体质疑三聚环保涉及关联交易，偏低的销售、管理费用率及银行存款利息收入以及重大合同背后的客户实力存疑,['三聚环保'],[-1.0]
0,相反，我们看到鸡尾酒产业这样的冷门股倒是有炒作机会，欧洲杯、世界杯期间各大酒吧都充斥着各色的鸡尾酒，外加成本低利润高的优势，所以A股相关概念股有水井坊、、、等公司反而比啤酒股更受欢迎,['水井坊'],[-1.0]
0,　　量子通信概念尾盘拉升，截至发稿，板块涨幅超过1%；个股方面，中信国安涨近5%；、、均涨逾2%，、、等也涨逾1%,['中信国安'],[1.0]
43,　　2016年，龙力生物用向特定对象发行股票及支付现金的方式，收购了厦门快云信息科技有限公司（下称“快云科技”）和兆荣联合（北京）科技发展有限公司（下称“兆荣联合”）两家公司，这两家公司分别主要从事互联网信息服务及第二类增值电信业务中的信息服务等业务,['龙力生物'],[1.0]
5,　　而就在三天前，承德露露发布的2017年年报显示，该公司去年营业收入为21.12亿元，同比下降16.23%；归属于上市公司股东的净利润为4.14亿元，同比下降8.16%,['承德露露'],[-1.0]
0,'　　券商板块盘中异动拉升，瞬间拉升冲击涨停，但未能成功封板，截至发稿，山西证券涨幅过8%，、、涨幅过3%，、、、涨幅过2%,['山西证券'],[1.0]
4,　　除上述三大主营业务外，中集集团的其他业务也都坚持实业发展方向，围绕物流、能源两大领域的装备制造与服务产业，实现了良好增势,['中集集团'],[1.0]
1,截至目前，在2017年年报每股现金分红数量来看，贵州茅台位列第一,['贵州茅台'],[0.0]
3,11月7日，格力电器发布公告称，继续推进此次的发行股份股购买银隆资产事宜,['格力电器'],[1.0]
16,其中，1月、2月沪股通分别净卖出3.9亿元、9.8亿元，但从3月1日以来沪股通累计净买入贵州茅台31.2亿元,['贵州茅台'],[1.0]
2,　　11月10日晚间，易事特公布资产收购方案，拟支付现金购买宁波宜则100%股权，作价29亿元,['易事特'],[0.0]
2,　　新日恒力披露了其中细节,['新日恒力'],[0.0]
12,　　长方集团于2017年报称，购买控股子公司康铭盛少数股东股权，将进一步促进公司产业链的整合，充分发挥产业链优势，巩固双方在行业内的竞争地位,['长方集团'],[1.0]
0,　　　　中毅达（600610）11月27日晚间发布的第六次董事会四十五次会议决议公告，透露了公司准备增补董事会审计委员会委员和董事会薪酬与考核委员会委员的信息,['中毅达'],[0.0]
0,　　最厉害的是，这还不是小盘股，是大盘股，发现没有，大象一旦疯狂起来，一点也不比小盘股逊色呀，关键就是看有没有合适的引爆点，上港集团是幸运的，刚好处于自贸区受益很突出的领域，走出如此走势，相信在其中的散户可能是做梦都没想到的,['上港集团'],[-1.0]
20,　　对于这两项交易的目的，乐视网都表示，交易能够优化乐视致新债务结构,['乐视网'],[0.0]
1,　　　上市4年之后，专门做西服的希努尔（002485.SZ）突然发现，人们的喜好好像变了，西服不好卖了，公司赚不到钱了,['希努尔'],[-1.0]
5,今年，汤臣倍健将进一步加强健力多的渠道布局广度与深度，不仅深耕线下50岁以上的主力人群，还将覆盖线上年轻的运动人群，提升在骨关节细分领域的市场占有率,['汤臣倍健'],[1.0]
1,　　而贵州茅台股票2001年上市价格是37元，现在605元，年化收益20%,['贵州茅台'],[1.0]
15,　　不过，因恒生网络事件遭受行政处罚的恒生电子总裁刘曙峰今年开年曾公开表示，2018年公司将加大区块链投入,['恒生电子'],[-1.0]
0,'　　中原证券　　　　1、肖钢：推出国债期货是期货衍生品市场创新的又一重要突破,['中原证券'],[1.0]
33,　　而受访的年轻人告诉记者，由于海澜之家的品牌形象定格多年，更像是中老年男人的“专属衣柜”,['海澜之家'],[0.0]
0,' 　　(300205)3月28日晚间披露股价异动公告，称公司关注到近期有媒体报道“天喻信息与支付宝、腾讯在技术层面合作，有多种形态产品支持‘无感支付’”,['天喻信息'],[1.0]
0,　　煤炭板块低开低走，云煤能源跌2.52%、跌1.95%、跌1.90%、跌1.78%、跌1.53%、跌1.48%、跌1.45%、跌1.44%、跌1.43%、跌1.41%,['云煤能源'],[-1.0]
32,对此，长安汽车内部人士表示：“我们会根据产品上市节奏对产能及营销布局进行调整，为后续新品带来的产能和营销压力做好准备,['长安汽车'],[-1.0]
20,　　在万科眼中，乡村整治与发展乡村经济、复兴乡村文化并驾齐驱，都是乡村振兴重要组成部分,['万科'],[1.0]
5,”　　　　近年，为改变业务单一局面，浪莎股份也曾做出过尝试,['浪莎股份'],[0.0]
0,但市场目前苦乐不均的情况异常严重：一方面，若干权重股一路向上，昔日的大盘股如万科现变成“小盘股”；另一方面，许多中小板、创业板股，每况愈下，部分实力差的前题材股，陷入到流动性枯竭的境况中，险象环生,['万科'],[-1.0]
1,其中，泰信优质生活虽然重仓持有华夏幸福，但其第二重仓的在4月却下跌19.16%，拖累了该基金净值的表现,['华夏幸福'],[1.0]
8,但是，对于业祥投资所持神开股份13.07%股权的归属问题，上市公司称未收到业祥投资股权转让的信息，且后者持有的公司股票还在禁售期内，依法不得转让,['神开股份'],[-1.0]
2,SQM可谓是该行业的一块香饽饽，早前曾引得(600884)、天齐锂业(002466)等参与竞购,['天齐锂业'],[0.0]
3,去年3月6日，华星创业停牌筹划重大资产重组,['华星创业'],[0.0]
18,但在2017年，滨江集团仅仅在深圳斩获了2个城市更新项目，在上海更是颗粒无收，重点布局上海、深圳的愿望大打折扣,['滨江集团'],[1.0]
0,公告显示，中房股份对《二次问询函》中涉及的相关事项进行了逐一落实并逐项回复,['中房股份'],[1.0]
0,　　田刚　　【环球网 记者 田刚】辅仁药业于2017年12月26日发布了《发行股份及支付现金购买资产并募集配套资金暨关联交易报告书（修订稿）》，计划以每股16.5元的价格定向发行44956.46万股股份，外加39118.32万元现金收购开药集团全部股权，由此计算开药集团整体估值高达78.09亿元，相比该公司的账面净资产溢价了216.42%,['辅仁药业'],[1.0]
3,　　战略合作加速产品推广，维持“买入”评级　　公司11 月4 日公告与签订战略合作协议，时隔三天后又一重磅合作达成，公司近期在智慧农业领域频频出击，市场拓展势头良好,['智慧农业'],[1.0]
0,'　　申万宏源于2017年11月22日-24日在上海国际会议中心举办2018资本市场年会，申万宏源宏观首席李慧勇在会上指出，智能制造引领中国四大新动能，一带一路、新型城镇化、中国智造、国企改革将成为未来中国步入新一轮扩张周期的四大动能,['申万宏源'],[1.0]
13,在业内人士看来，考虑到八达园林对于美丽生态的营收占比，此次融资遇挫，将使得美丽生态的业绩进一步承压,['美丽生态'],[-1.0]
6,双鹭药业建立了至少100人的团队，已经培训半年,['双鹭药业'],[0.0]
8,　　《每日经济新闻》记者注意到，中金环境在2月25日晚披露的公告中称，因本次增持公司股票的员工人数较多，且增持的数量及价格信息由员工自主申报，统计可能存在一定的误差,['中金环境'],[1.0]
0,截至发稿，山西证券涨逾8%，、、、等个股纷纷跟涨,['山西证券'],[1.0]
0,2017年，国寿集团总保费滞涨的主要原因在于中国人寿保费不增反降，中国人寿实现总保费收入5892.97亿元，同比下降1.15个百分点,['中国人寿'],[1.0]
6,　　渤海金控的控股股东为海航资本集团有限公司(简称“海航资本”),['渤海金控'],[0.0]
2,”　　另据二三四五2月28日发布的《关于2017年度计提资产减值准备的公告》显示，公司宣布拟计提各项资产减值准备约9.66亿元,['二三四五'],[0.0]
13,　　今年1月份，万家乐发布公告称，公司拟通过现金购买及增资的方式获得浙江翰晟携创实业有限公司60%的股权，公开资料显示，后者主营大宗商品贸易和供应链管理服务,['万家乐'],[1.0]
19,从2009年开始，中弘股份向旅游产业转型，各种资本运作此起彼伏，包括收购海外公司,['中弘股份'],[0.0]
0,　　上周表现良好的高铁板块再度加速前行，中铁二局涨停、涨4.45%、涨4.39%、涨3.27%、涨2.44%、涨2.44%、涨2.18%,['中铁二局'],[1.0]
7,　　营收业绩双降　　此前承德露露因为良好的现金流、较低的负债率和充足的现金储备，一直被A股市场看做现金奶牛，而现在其正在被“榨干”,['承德露露'],[1.0]
6,　　此后，汉王科技的电纸书再也没有回转之势，销量一路下滑,['汉王科技'],[-1.0]
1,　　在当日的发布会后，一众操着东北口音的人士将所有与会者团团围住，不允许所有与会者离开　　　　工大高新中小股东与现任公司管理层之间的矛盾正在走向白热化,['工大高新'],[-1.0]
7,另外，记者注意到，洛阳玻璃前次定增计划于2015年12月4日获证监会核准，募集资金于2016年1月到位；但本次定增董事会决议日为2017年2月7日，距离前次募集资金到位日仅13个月，与新规“原则上不得少于18个月”的规定相冲突,['洛阳玻璃'],[-1.0]
11,　　随着主业的持续亏损，上海普天归母净利润终于在2008年正式的由正转负,['上海普天'],[-1.0]
